name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;677;0;449;3039;1138;3039;1115;0
header;241;203;241;236;1876;236;1876;203
A;1043;272;1043;298;1064;298;1064;272
A;872;514;872;527;879;527;879;514
B;1048;950;1048;977;1068;977;1068;950
C;1048;1672;1048;1700;1069;1700;1069;1672
D;1054;2351;1054;2377;1075;2377;1075;2351
B;684;2371;684;2391;698;2391;698;2371
A;562;2932;562;2939;567;2939;567;2932
A;581;2933;581;2940;586;2940;586;2933
A;541;2934;541;2940;546;2940;546;2934
A;956;2961;956;2964;958;2964;958;2961
