name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;614;0;454;3035;1066;3035;1066;0
header;225;209;225;244;1851;244;1851;209
A;1021;277;1021;303;1042;303;1042;277
B;1031;944;1031;970;1051;970;1051;944
A;571;1002;571;1004;573;1004;573;1002
B;1004;1423;1004;1440;1013;1440;1013;1423
A;933;1515;933;1530;941;1530;941;1515
C;1031;1620;1031;1649;1052;1649;1052;1620
B;599;2065;599;2083;609;2083;609;2065
D;1031;2217;1031;2245;1053;2245;1053;2217
A;618;2303;618;2315;625;2315;625;2303
B;605;2922;605;2951;625;2951;625;2922
