name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;951;0;1020;3037;1066;3037;1066;0
header;197;140;197;174;1834;174;1834;140
A;999;203;999;232;1024;232;1024;203
A;984;496;984;508;990;508;990;496
B;1012;877;1012;904;1034;904;1034;877
A;987;977;987;978;989;978;989;977
A;1038;1097;1038;1097;1040;1097;1040;1097
C;1016;1541;1016;1572;1038;1572;1038;1541
A;1042;1652;1042;1652;1043;1652;1043;1652
B;988;1675;988;1694;1003;1694;1003;1675
D;1025;2221;1025;2247;1046;2247;1046;2221
A;1011;2278;1011;2284;1017;2284;1017;2278
